,SUBCAT,DESCRICAO
10376,X237,"Contato com abelhas, vespas e vespões - fazenda"
10377,X238,"Contato com abelhas, vespas e vespões - outros locais especificados"
10378,X239,"Contato com abelhas, vespas e vespões - local não especificado"
10379,X240,Contato com centopéias e miriápodes venenosas (tropicais) - residência
10380,X241,Contato com centopéias e miriápodes venenosas (tropicais) - habitação coletiva
10381,X242,"Contato com centopéias e miriápodes venenosas (tropicais) - escolas, outras instituições e áreas de administração pública"
10382,X243,Contato com centopéias e miriápodes venenosas (tropicais) - área para a prática de esportes e atletismo
10383,X244,Contato com centopéias e miriápodes venenosas (tropicais) - rua e estrada
10384,X245,Contato com centopéias e miriápodes venenosas (tropicais) - áreas de comércio e de serviços
10385,X246,Contato com centopéias e miriápodes venenosas (tropicais) - áreas industriais e em construção
10386,X247,Contato com centopéias e miriápodes venenosas (tropicais) - fazenda
10387,X248,Contato com centopéias e miriápodes venenosas (tropicais) - outros locais especificados
10388,X249,Contato com centopéias e miriápodes venenosas (tropicais) - local não especificado
10389,X250,Contato com outros artrópodes venenosos - residência
10390,X251,Contato com outros artrópodes venenosos - habitação coletiva
10391,X252,"Contato com outros artrópodes venenosos - escolas, outras instituições e áreas de administração pública"
10392,X253,Contato com outros artrópodes venenosos - área para a prática de esportes e atletismo
10393,X254,Contato com outros artrópodes venenosos - rua e estrada
10394,X255,Contato com outros artrópodes venenosos - áreas de comércio e de serviços
10395,X256,Contato com outros artrópodes venenosos - áreas industriais e em construção
10396,X257,Contato com outros artrópodes venenosos - fazenda
10397,X258,Contato com outros artrópodes venenosos - outros locais especificados
10398,X259,Contato com outros artrópodes venenosos - local não especificado
10399,X260,Contato com animais e plantas marinhos venenosos - residência
10400,X261,Contato com animais e plantas marinhos venenosos - habitação coletiva
10401,X262,"Contato com animais e plantas marinhos venenosos - escolas, outras instituições e áreas de administração pública"
10402,X263,Contato com animais e plantas marinhos venenosos - área para a prática de esportes e atletismo
10403,X264,Contato com animais e plantas marinhos venenosos - rua e estrada
10404,X265,Contato com animais e plantas marinhos venenosos - áreas de comércio e de serviços
10405,X266,Contato com animais e plantas marinhos venenosos - áreas industriais e em construção
10406,X267,Contato com animais e plantas marinhos venenosos - fazenda
10407,X268,Contato com animais e plantas marinhos venenosos - outros locais especificados
10408,X269,Contato com animais e plantas marinhos venenosos - local não especificado
10409,X270,Contato com outros animais venenosos especificados - residência
10410,X271,Contato com outros animais venenosos especificados - habitação coletiva
10411,X272,"Contato com outros animais venenosos especificados - escolas, outras instituições e áreas de administração pública"
10412,X273,Contato com outros animais venenosos especificados - área para a prática de esportes e atletismo
10413,X274,Contato com outros animais venenosos especificados - rua e estrada
10414,X275,Contato com outros animais venenosos especificados - áreas de comércio e de serviços
10415,X276,Contato com outros animais venenosos especificados - áreas industriais e em construção
10416,X277,Contato com outros animais venenosos especificados - fazenda
10417,X278,Contato com outros animais venenosos especificados - outros locais especificados
10418,X279,Contato com outros animais venenosos especificados - local não especificado
10419,X280,Contato com outras plantas venenosas especificadas - residência
10420,X281,Contato com outras plantas venenosas especificadas - habitação coletiva
10421,X282,"Contato com outras plantas venenosas especificadas - escolas, outras instituições e áreas de administração pública"
10422,X283,Contato com outras plantas venenosas especificadas - área para a prática de esportes e atletismo
10423,X284,Contato com outras plantas venenosas especificadas - rua e estrada
10424,X285,Contato com outras plantas venenosas especificadas - áreas de comércio e de serviços
10425,X286,Contato com outras plantas venenosas especificadas - áreas industriais e em construção
10426,X287,Contato com outras plantas venenosas especificadas - fazenda
10427,X288,Contato com outras plantas venenosas especificadas - outros locais especificados
10428,X289,Contato com outras plantas venenosas especificadas - local não especificado
10429,X290,"Contato com animais ou plantas venenosos, sem especificação - residência"
10430,X291,"Contato com animais ou plantas venenosos, sem especificação - habitação coletiva"
10431,X292,"Contato com animais ou plantas venenosos, sem especificação - escolas, outras instituições e áreas de administração pública"
10432,X293,"Contato com animais ou plantas venenosos, sem especificação - área para a prática de esportes e atletismo"
10433,X294,"Contato com animais ou plantas venenosos, sem especificação - rua e estrada"
10434,X295,"Contato com animais ou plantas venenosos, sem especificação - áreas de comércio e de serviços"
10435,X296,"Contato com animais ou plantas venenosos, sem especificação - áreas industriais e em construção"
10436,X297,"Contato com animais ou plantas venenosos, sem especificação - fazenda"
10437,X298,"Contato com animais ou plantas venenosos, sem especificação - outros locais especificados"
10438,X299,"Contato com animais ou plantas venenosos, sem especificação - local não especificado"
10439,X300,Exposição a calor natural excessivo - residência
10440,X301,Exposição a calor natural excessivo - habitação coletiva
10441,X302,"Exposição a calor natural excessivo - escolas, outras instituições e áreas de administração pública"
10442,X303,Exposição a calor natural excessivo - área para a prática de esportes e atletismo
10443,X304,Exposição a calor natural excessivo - rua e estrada
10444,X305,Exposição a calor natural excessivo - áreas de comércio e de serviços
10445,X306,Exposição a calor natural excessivo - áreas industriais e em construção
10446,X307,Exposição a calor natural excessivo - fazenda
10447,X308,Exposição a calor natural excessivo - outros locais especificados
10448,X309,Exposição a calor natural excessivo - local não especificado
10449,X310,Exposição a frio natural excessivo - residência
10450,X311,Exposição a frio natural excessivo - habitação coletiva
10451,X312,"Exposição a frio natural excessivo - escolas, outras instituições e áreas de administração pública"
10452,X313,Exposição a frio natural excessivo - área para a prática de esportes e atletismo
10453,X314,Exposição a frio natural excessivo - rua e estrada
10454,X315,Exposição a frio natural excessivo - áreas de comércio e de serviços
10455,X316,Exposição a frio natural excessivo - áreas industriais e em construção
10456,X317,Exposição a frio natural excessivo - fazenda
10457,X318,Exposição a frio natural excessivo - outros locais especificados
10458,X319,Exposição a frio natural excessivo - local não especificado
10459,X320,Exposição à luz solar - residência
10460,X321,Exposição à luz solar - habitação coletiva
10461,X322,"Exposição à luz solar - escolas, outras instituições e áreas de administração pública"
10462,X323,Exposição à luz solar - área para a prática de esportes e atletismo
10463,X324,Exposição à luz solar - rua e estrada
10464,X325,Exposição à luz solar - áreas de comércio e de serviços
10465,X326,Exposição à luz solar - áreas industriais e em construção
10466,X327,Exposição à luz solar - fazenda
10467,X328,Exposição à luz solar - outros locais especificados
10468,X329,Exposição à luz solar - local não especificado
10469,X330,Vítima de raio - residência
10470,X331,Vítima de raio - habitação coletiva
10471,X332,"Vítima de raio - escolas, outras instituições e áreas de administração pública"
10472,X333,Vítima de raio - área para a prática de esportes e atletismo
10473,X334,Vítima de raio - rua e estrada
10474,X335,Vítima de raio - áreas de comércio e de serviços
10475,X336,Vítima de raio - áreas industriais e em construção
10476,X337,Vítima de raio - fazenda
10477,X338,Vítima de raio - outros locais especificados
10478,X339,Vítima de raio - local não especificado
10479,X340,Vítima de terremoto - residência
10480,X341,Vítima de terremoto - habitação coletiva
10481,X342,"Vítima de terremoto - escolas, outras instituições e áreas de administração pública"
10482,X343,Vítima de terremoto - área para a prática de esportes e atletismo
10483,X344,Vítima de terremoto - rua e estrada
10484,X345,Vítima de terremoto - áreas de comércio e de serviços
10485,X346,Vítima de terremoto - áreas industriais e em construção
10486,X347,Vítima de terremoto - fazenda
10487,X348,Vítima de terremoto - outros locais especificados
10488,X349,Vítima de terremoto - local não especificado
10489,X350,Vítima de erupção vulcânica - residência
10490,X351,Vítima de erupção vulcânica - habitação coletiva
10491,X352,"Vítima de erupção vulcânica - escolas, outras instituições e áreas de administração pública"
10492,X353,Vítima de erupção vulcânica - área para a prática de esportes e atletismo
10493,X354,Vítima de erupção vulcânica - rua e estrada
10494,X355,Vítima de erupção vulcânica - áreas de comércio e de serviços
10495,X356,Vítima de erupção vulcânica - áreas industriais e em construção
10496,X357,Vítima de erupção vulcânica - fazenda
10497,X358,Vítima de erupção vulcânica - outros locais especificados
10498,X359,Vítima de erupção vulcânica - local não especificado
10499,X360,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - residência"
10500,X361,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - habitação coletiva"
10501,X362,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - escolas, outras instituições e áreas de administração pública"
10502,X363,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - área para a prática de esportes e atletismo"
10503,X364,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - rua e estrada"
10504,X365,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - áreas de comércio e de serviços"
10505,X366,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - áreas industriais e em construção"
10506,X367,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - fazenda"
10507,X368,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - outros locais especificados"
10508,X369,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - local não especificado"
10509,X370,Vítima de tempestade cataclísmica - residência
10510,X371,Vítima de tempestade cataclísmica - habitação coletiva
10511,X372,"Vítima de tempestade cataclísmica - escolas, outras instituições e áreas de administração pública"
10512,X373,Vítima de tempestade cataclísmica - área para a prática de esportes e atletismo
10513,X374,Vítima de tempestade cataclísmica - rua e estrada
10514,X375,Vítima de tempestade cataclísmica - áreas de comércio e de serviços
10515,X376,Vítima de tempestade cataclísmica - áreas industriais e em construção
10516,X377,Vítima de tempestade cataclísmica - fazenda
10517,X378,Vítima de tempestade cataclísmica - outros locais especificados
10518,X379,Vítima de tempestade cataclísmica - local não especificado
10519,X380,Vítima de inundação - residência
10520,X381,Vítima de inundação - habitação coletiva
10521,X382,"Vítima de inundação - escolas, outras instituições e áreas de administração pública"
10522,X383,Vítima de inundação - área para a prática de esportes e atletismo
10523,X384,Vítima de inundação - rua e estrada
10524,X385,Vítima de inundação - áreas de comércio e de serviços
10525,X386,Vítima de inundação - áreas industriais e em construção
10526,X387,Vítima de inundação - fazenda
10527,X388,Vítima de inundação - outros locais especificados
10528,X389,Vítima de inundação - local não especificado
10529,X390,Exposição a outras forças da natureza e às não especificadas - residência
10530,X391,Exposição a outras forças da natureza e às não especificadas - habitação coletiva
10531,X392,"Exposição a outras forças da natureza e às não especificadas - escolas, outras instituições e áreas de administração pública"
10532,X393,Exposição a outras forças da natureza e às não especificadas - área para a prática de esportes e atletismo
10533,X394,Exposição a outras forças da natureza e às não especificadas - rua e estrada
10534,X395,Exposição a outras forças da natureza e às não especificadas - áreas de comércio e de serviços
10535,X396,Exposição a outras forças da natureza e às não especificadas - áreas industriais e em construção
10536,X397,Exposição a outras forças da natureza e às não especificadas - fazenda
10537,X398,Exposição a outras forças da natureza e às não especificadas - outros locais especificados
10538,X399,Exposição a outras forças da natureza e às não especificadas - local não especificado
10539,X400,"Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - residência"
10540,X401,"Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - habitação coletiva"
10541,X402,"Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - escolas, outras instituições e áreas de administração pública"
10542,X403,"Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - área para a prática de esportes e atletismo"
10543,X404,"Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - rua e estrada"
10544,X405,"Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - áreas de comércio e de serviços"
10545,X406,"Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - áreas industriais e em construção"
10546,X407,"Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - fazenda"
10547,X408,"Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - outros locais especificados"
10548,X409,"Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - local não especificado"
10549,X410,"Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - residência"
10550,X411,"Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - habitação coletiva"
10551,X412,"Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - escolas, outras instituições e áreas de administração pública"
10552,X413,"Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - área para a prática de esportes e atletismo"
10553,X414,"Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - rua e estrada"
10554,X415,"Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - áreas de comércio e de serviços"
10555,X416,"Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - áreas industriais e em construção"
10556,X417,"Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - fazenda"
10557,X418,"Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - outros locais especificados"
10558,X419,"Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - local não especificado"
10559,X420,Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - residência
10560,X421,Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - habitação coletiva
10561,X422,"Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - escolas, outras instituições e áreas de administração pública"
10562,X423,Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - área para a prática de esportes e atletismo
10563,X424,Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - rua e estrada
10564,X425,Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - áreas de comércio e de serviços
10565,X426,Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - áreas industriais e em construção
10566,X427,Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - fazenda
10567,X428,Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - outros locais especificados
10568,X429,Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - local não especificado
10569,X430,Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - residência
10570,X431,Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - habitação coletiva
10571,X432,"Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - escolas, outras instituições e áreas de administração pública"
10572,X433,Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - área para a prática de esportes e atletismo
10573,X434,Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - rua e estrada
10574,X435,Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - áreas de comércio e de serviços
10575,X436,Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - áreas industriais e em construção
10576,X437,Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - fazenda
10577,X438,Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - outros locais especificados
10578,X439,Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - local não especificado
10579,X440,"Envenenamento [intoxicação] acidental por e exposição a outras drogas, medicamentos e substâncias biológicas não especificadas - residência"
10580,X441,"Envenenamento [intoxicação] acidental por e exposição a outras drogas, medicamentos e substâncias biológicas não especificadas - habitação coletiva"
10581,X442,"Envenenamento [intoxicação] acidental por e exposição a outras drogas, medicamentos e substâncias biológicas não especificadas - escolas, outras instituições e áreas de administração pública"
10582,X443,"Envenenamento [intoxicação] acidental por e exposição a outras drogas, medicamentos e substâncias biológicas não especificadas - área para a prática de esportes e atletismo"
10583,X444,"Envenenamento [intoxicação] acidental por e exposição a outras drogas, medicamentos e substâncias biológicas não especificadas - rua e estrada"
10584,X445,"Envenenamento [intoxicação] acidental por e exposição a outras drogas, medicamentos e substâncias biológicas não especificadas - áreas de comércio e de serviços"
10585,X446,"Envenenamento [intoxicação] acidental por e exposição a outras drogas, medicamentos e substâncias biológicas não especificadas - áreas industriais e em construção"
10586,X447,"Envenenamento [intoxicação] acidental por e exposição a outras drogas, medicamentos e substâncias biológicas não especificadas - fazenda"
10587,X448,"Envenenamento [intoxicação] acidental por e exposição a outras drogas, medicamentos e substâncias biológicas não especificadas - outros locais especificados"
10588,X449,"Envenenamento [intoxicação] acidental por e exposição a outras drogas, medicamentos e substâncias biológicas não especificadas - local não especificado"
10589,X450,Envenenamento [intoxicação] acidental por e exposição ao álcool - residência
10590,X451,Envenenamento [intoxicação] acidental por e exposição ao álcool - habitação coletiva
10591,X452,"Envenenamento [intoxicação] acidental por e exposição ao álcool - escolas, outras instituições e áreas de administração pública"
10592,X453,Envenenamento [intoxicação] acidental por e exposição ao álcool - área para a prática de esportes e atletismo
10593,X454,Envenenamento [intoxicação] acidental por e exposição ao álcool - rua e estrada
10594,X455,Envenenamento [intoxicação] acidental por e exposição ao álcool - áreas de comércio e de serviços
10595,X456,Envenenamento [intoxicação] acidental por e exposição ao álcool - áreas industriais e em construção
10596,X457,Envenenamento [intoxicação] acidental por e exposição ao álcool - fazenda
10597,X458,Envenenamento [intoxicação] acidental por e exposição ao álcool - outros locais especificados
10598,X459,Envenenamento [intoxicação] acidental por e exposição ao álcool - local não especificado
10599,X460,Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - residência
10600,X461,Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - habitação coletiva
10601,X462,"Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - escolas, outras instituições e áreas de administração pública"
10602,X463,Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - área para a prática de esportes e atletismo
10603,X464,Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - rua e estrada
10604,X465,Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - áreas de comércio e de serviços
10605,X466,Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - áreas industriais e em construção
10606,X467,Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - fazenda
10607,X468,Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - outros locais especificados
10608,X469,Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores - local não especificado
10609,X470,Intoxicação acidental por e exposição a outros gases e vapores - residência
10610,X471,Intoxicação acidental por e exposição a outros gases e vapores - habitação coletiva
10611,X472,"Intoxicação acidental por e exposição a outros gases e vapores - escolas, outras instituições e áreas de administração pública"
10612,X473,Intoxicação acidental por e exposição a outros gases e vapores - área para a prática de esportes e atletismo
10613,X474,Intoxicação acidental por e exposição a outros gases e vapores - rua e estrada
10614,X475,Intoxicação acidental por e exposição a outros gases e vapores - áreas de comércio e de serviços
10615,X476,Intoxicação acidental por e exposição a outros gases e vapores - áreas industriais e em construção
10616,X477,Intoxicação acidental por e exposição a outros gases e vapores - fazenda
10617,X478,Intoxicação acidental por e exposição a outros gases e vapores - outros locais especificados
10618,X479,Intoxicação acidental por e exposição a outros gases e vapores - local não especificado
10619,X480,Envenenamento [intoxicação] acidental por e exposição a pesticidas - residência
10620,X481,Envenenamento [intoxicação] acidental por e exposição a pesticidas - habitação coletiva
10621,X482,"Envenenamento [intoxicação] acidental por e exposição a pesticidas - escolas, outras instituições e áreas de administração pública"
10622,X483,Envenenamento [intoxicação] acidental por e exposição a pesticidas - área para a prática de esportes e atletismo
10623,X484,Envenenamento [intoxicação] acidental por e exposição a pesticidas - rua e estrada
10624,X485,Envenenamento [intoxicação] acidental por e exposição a pesticidas - áreas de comércio e de serviços
10625,X486,Envenenamento [intoxicação] acidental por e exposição a pesticidas - áreas industriais e em construção
10626,X487,Envenenamento [intoxicação] acidental por e exposição a pesticidas - fazenda
10627,X488,Envenenamento [intoxicação] acidental por e exposição a pesticidas - outros locais especificados
10628,X489,Envenenamento [intoxicação] acidental por e exposição a pesticidas - local não especificado
10629,X490,Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - residência
10630,X491,Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - habitação coletiva
10631,X492,"Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - escolas, outras instituições e áreas de administração pública"
10632,X493,Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - área para a prática de esportes e atletismo
10633,X494,Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - rua e estrada
10634,X495,Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - áreas de comércio e de serviços
10635,X496,Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - áreas industriais e em construção
10636,X497,Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - fazenda
10637,X498,Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - outros locais especificados
10638,X499,Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas - local não especificado
10639,X500,Excesso de exercícios e movimentos vigorosos ou repetitivos - residência
10640,X501,Excesso de exercícios e movimentos vigorosos ou repetitivos - habitação coletiva
10641,X502,"Excesso de exercícios e movimentos vigorosos ou repetitivos - escolas, outras instituições e áreas de administração pública"
10642,X503,Excesso de exercícios e movimentos vigorosos ou repetitivos - área para a prática de esportes e atletismo
10643,X504,Excesso de exercícios e movimentos vigorosos ou repetitivos - rua e estrada
10644,X505,Excesso de exercícios e movimentos vigorosos ou repetitivos - áreas de comércio e de serviços
10645,X506,Excesso de exercícios e movimentos vigorosos ou repetitivos - áreas industriais e em construção
10646,X507,Excesso de exercícios e movimentos vigorosos ou repetitivos - fazenda
10647,X508,Excesso de exercícios e movimentos vigorosos ou repetitivos - outros locais especificados
10648,X509,Excesso de exercícios e movimentos vigorosos ou repetitivos - local não especificado
10649,X510,Viagem e movimento - residência
10650,X511,Viagem e movimento - habitação coletiva
10651,X512,"Viagem e movimento - escolas, outras instituições e áreas de administração pública"
10652,X513,Viagem e movimento - área para a prática de esportes e atletismo
10653,X514,Viagem e movimento - rua e estrada
10654,X515,Viagem e movimento - áreas de comércio e de serviços
10655,X516,Viagem e movimento - áreas industriais e em construção
10656,X517,Viagem e movimento - fazenda
10657,X518,Viagem e movimento - outros locais especificados
10658,X519,Viagem e movimento - local não especificado
10659,X520,Estadia prolongada em ambiente agravitacional - residência
10660,X521,Estadia prolongada em ambiente agravitacional - habitação coletiva
10661,X522,"Estadia prolongada em ambiente agravitacional - escolas, outras instituições e áreas de administração pública"
10662,X523,Estadia prolongada em ambiente agravitacional - área para a prática de esportes e atletismo
10663,X524,Estadia prolongada em ambiente agravitacional - rua e estrada
10664,X525,Estadia prolongada em ambiente agravitacional - áreas de comércio e de serviços
10665,X526,Estadia prolongada em ambiente agravitacional - áreas industriais e em construção
10666,X527,Estadia prolongada em ambiente agravitacional - fazenda
10667,X528,Estadia prolongada em ambiente agravitacional - outros locais especificados
10668,X529,Estadia prolongada em ambiente agravitacional - local não especificado
10669,X530,Falta de alimento - residência
10670,X531,Falta de alimento - habitação coletiva
10671,X532,"Falta de alimento - escolas, outras instituições e áreas de administração pública"
10672,X533,Falta de alimento - área para a prática de esportes e atletismo
10673,X534,Falta de alimento - rua e estrada
10674,X535,Falta de alimento - áreas de comércio e de serviços
10675,X536,Falta de alimento - áreas industriais e em construção
10676,X537,Falta de alimento - fazenda
10677,X538,Falta de alimento - outros locais especificados
10678,X539,Falta de alimento - local não especificado
10679,X540,Falta de água - residência
10680,X541,Falta de água - habitação coletiva
10681,X542,"Falta de água - escolas, outras instituições e áreas de administração pública"
10682,X543,Falta de água - área para a prática de esportes e atletismo
10683,X544,Falta de água - rua e estrada
10684,X545,Falta de água - áreas de comércio e de serviços
10685,X546,Falta de água - áreas industriais e em construção
10686,X547,Falta de água - fazenda
10687,X548,Falta de água - outros locais especificados
10688,X549,Falta de água - local não especificado
10689,X570,Privação não especificada - residência
10690,X571,Privação não especificada - habitação coletiva
10691,X572,"Privação não especificada - escolas, outras instituições e áreas de administração pública"
10692,X573,Privação não especificada - área para a prática de esportes e atletismo
10693,X574,Privação não especificada - rua e estrada
10694,X575,Privação não especificada - áreas de comércio e de serviços
10695,X576,Privação não especificada - áreas industriais e em construção
10696,X577,Privação não especificada - fazenda
10697,X578,Privação não especificada - outros locais especificados
10698,X579,Privação não especificada - local não especificado
10699,X580,Exposição a outros fatores especificados - residência
10700,X581,Exposição a outros fatores especificados - habitação coletiva
10701,X582,"Exposição a outros fatores especificados - escolas, outras instituições e áreas de administração pública"
10702,X583,Exposição a outros fatores especificados - área para a prática de esportes e atletismo
10703,X584,Exposição a outros fatores especificados - rua e estrada
10704,X585,Exposição a outros fatores especificados - áreas de comércio e de serviços
10705,X586,Exposição a outros fatores especificados - áreas industriais e em construção
10706,X587,Exposição a outros fatores especificados - fazenda
10707,X588,Exposição a outros fatores especificados - outros locais especificados
10708,X589,Exposição a outros fatores especificados - local não especificado
10709,X590,Exposição a fator não especificado causando fratura
10710,X599,Exposição a fator não especificado causando outro tr|aumatismo e traumatismo não especificado
10711,X600,"Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - residência"
10712,X601,"Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - habitação coletiva"
10713,X602,"Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - escolas, outras instituições e áreas de administração pública"
10714,X603,"Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - área para a prática de esportes e atletismo"
10715,X604,"Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - rua e estrada"
