type,value,description
cid,W939,Exposição a um frio excessivo de origem artificial - local não especificado
cid,W940,"Exposição a alta, baixa e a variações da pressão atmosférica - residência"
cid,W941,"Exposição a alta, baixa e a variações da pressão atmosférica - habitação coletiva"
cid,W942,"Exposição a alta, baixa e a variações da pressão atmosférica - escolas, outras instituições e áreas de administração pública"
cid,W943,"Exposição a alta, baixa e a variações da pressão atmosférica - área para a prática de esportes e atletismo"
cid,W944,"Exposição a alta, baixa e a variações da pressão atmosférica - rua e estrada"
cid,W945,"Exposição a alta, baixa e a variações da pressão atmosférica - áreas de comércio e de serviços"
cid,W946,"Exposição a alta, baixa e a variações da pressão atmosférica - áreas industriais e em construção"
cid,W947,"Exposição a alta, baixa e a variações da pressão atmosférica - fazenda"
cid,W948,"Exposição a alta, baixa e a variações da pressão atmosférica - outros locais especificados"
cid,W949,"Exposição a alta, baixa e a variações da pressão atmosférica - local não especificado"
cid,W990,Exposição a outros fatores ambientais artificiais e aos não especificados - residência
cid,W991,Exposição a outros fatores ambientais artificiais e aos não especificados - habitação coletiva
cid,W992,"Exposição a outros fatores ambientais artificiais e aos não especificados - escolas, outras instituições e áreas de administração pública"
cid,W993,Exposição a outros fatores ambientais artificiais e aos não especificados - área para a prática de esportes e atletismo
cid,W994,Exposição a outros fatores ambientais artificiais e aos não especificados - rua e estrada
cid,W995,Exposição a outros fatores ambientais artificiais e aos não especificados - áreas de comércio e de serviços
cid,W996,Exposição a outros fatores ambientais artificiais e aos não especificados - áreas industriais e em construção
cid,W997,Exposição a outros fatores ambientais artificiais e aos não especificados - fazenda
cid,W998,Exposição a outros fatores ambientais artificiais e aos não especificados - outros locais especificados
cid,W999,Exposição a outros fatores ambientais artificiais e aos não especificados - local não especificado
cid,X000,Exposição a fogo não-controlado em um edifício ou outro tipo de construção - residência
cid,X001,Exposição a fogo não-controlado em um edifício ou outro tipo de construção - habitação coletiva
cid,X002,"Exposição a fogo não-controlado em um edifício ou outro tipo de construção - escolas, outras instituições e áreas de administração pública"
cid,X003,Exposição a fogo não-controlado em um edifício ou outro tipo de construção - área para a prática de esportes e atletismo
cid,X004,Exposição a fogo não-controlado em um edifício ou outro tipo de construção - rua e estrada
cid,X005,Exposição a fogo não-controlado em um edifício ou outro tipo de construção - áreas de comércio e de serviços
cid,X006,Exposição a fogo não-controlado em um edifício ou outro tipo de construção - áreas industriais e em construção
cid,X007,Exposição a fogo não-controlado em um edifício ou outro tipo de construção - fazenda
cid,X008,Exposição a fogo não-controlado em um edifício ou outro tipo de construção - outros locais especificados
cid,X009,Exposição a fogo não-controlado em um edifício ou outro tipo de construção - local não especificado
cid,X010,Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - residência
cid,X011,Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - habitação coletiva
cid,X012,"Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - escolas, outras instituições e áreas de administração pública"
cid,X013,Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - área para a prática de esportes e atletismo
cid,X014,Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - rua e estrada
cid,X015,Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - áreas de comércio e de serviços
cid,X016,Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - áreas industriais e em construção
cid,X017,Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - fazenda
cid,X018,Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - outros locais especificados
cid,X019,Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - local não especificado
cid,X020,Exposição a fogo controlado em um edifício ou outro tipo de construção - residência
cid,X021,Exposição a fogo controlado em um edifício ou outro tipo de construção - habitação coletiva
cid,X022,"Exposição a fogo controlado em um edifício ou outro tipo de construção - escolas, outras instituições e áreas de administração pública"
cid,X023,Exposição a fogo controlado em um edifício ou outro tipo de construção - área para a prática de esportes e atletismo
cid,X024,Exposição a fogo controlado em um edifício ou outro tipo de construção - rua e estrada
cid,X025,Exposição a fogo controlado em um edifício ou outro tipo de construção - áreas de comércio e de serviços
cid,X026,Exposição a fogo controlado em um edifício ou outro tipo de construção - áreas industriais e em construção
cid,X027,Exposição a fogo controlado em um edifício ou outro tipo de construção - fazenda
cid,X028,Exposição a fogo controlado em um edifício ou outro tipo de construção - outros locais especificados
cid,X029,Exposição a fogo controlado em um edifício ou outro tipo de construção - local não especificado
cid,X030,Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - residência
cid,X031,Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - habitação coletiva
cid,X032,"Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - escolas, outras instituições e áreas de administração pública"
cid,X033,Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - área para a prática de esportes e atletismo
cid,X034,Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - rua e estrada
cid,X035,Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - áreas de comércio e de serviços
cid,X036,Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - áreas industriais e em construção
cid,X037,Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - fazenda
cid,X038,Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - outros locais especificados
cid,X039,Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - local não especificado
cid,X040,Exposição a combustão de substância muito inflamável - residência
cid,X041,Exposição a combustão de substância muito inflamável - habitação coletiva
cid,X042,"Exposição a combustão de substância muito inflamável - escolas, outras instituições e áreas de administração pública"
cid,X043,Exposição a combustão de substância muito inflamável - área para a prática de esportes e atletismo
cid,X044,Exposição a combustão de substância muito inflamável - rua e estrada
cid,X045,Exposição a combustão de substância muito inflamável - áreas de comércio e de serviços
cid,X046,Exposição a combustão de substância muito inflamável - áreas industriais e em construção
cid,X047,Exposição a combustão de substância muito inflamável - fazenda
cid,X048,Exposição a combustão de substância muito inflamável - outros locais especificados
cid,X049,Exposição a combustão de substância muito inflamável - local não especificado
cid,X050,Exposição a combustão de roupa de dormir - residência
cid,X051,Exposição a combustão de roupa de dormir - habitação coletiva
cid,X052,"Exposição a combustão de roupa de dormir - escolas, outras instituições e áreas de administração pública"
cid,X053,Exposição a combustão de roupa de dormir - área para a prática de esportes e atletismo
cid,X054,Exposição a combustão de roupa de dormir - rua e estrada
cid,X055,Exposição a combustão de roupa de dormir - áreas de comércio e de serviços
cid,X056,Exposição a combustão de roupa de dormir - áreas industriais e em construção
cid,X057,Exposição a combustão de roupa de dormir - fazenda
cid,X058,Exposição a combustão de roupa de dormir - outros locais especificados
cid,X059,Exposição a combustão de roupa de dormir - local não especificado
cid,X060,Exposição a combustão de outro tipo de roupa ou de acessórios - residência
cid,X061,Exposição a combustão de outro tipo de roupa ou de acessórios - habitação coletiva
cid,X062,"Exposição a combustão de outro tipo de roupa ou de acessórios - escolas, outras instituições e áreas de administração pública"
cid,X063,Exposição a combustão de outro tipo de roupa ou de acessórios - área para a prática de esportes e atletismo
cid,X064,Exposição a combustão de outro tipo de roupa ou de acessórios - rua e estrada
cid,X065,Exposição a combustão de outro tipo de roupa ou de acessórios - áreas de comércio e de serviços
cid,X066,Exposição a combustão de outro tipo de roupa ou de acessórios - áreas industriais e em construção
cid,X067,Exposição a combustão de outro tipo de roupa ou de acessórios - fazenda
cid,X068,Exposição a combustão de outro tipo de roupa ou de acessórios - outros locais especificados
cid,X069,Exposição a combustão de outro tipo de roupa ou de acessórios - local não especificado
cid,X080,"Exposição a outro tipo especificado de fumaça, fogo ou chamas - residência"
cid,X081,"Exposição a outro tipo especificado de fumaça, fogo ou chamas - habitação coletiva"
cid,X082,"Exposição a outro tipo especificado de fumaça, fogo ou chamas - escolas, outras instituições e áreas de administração pública"
cid,X083,"Exposição a outro tipo especificado de fumaça, fogo ou chamas - área para a prática de esportes e atletismo"
cid,X084,"Exposição a outro tipo especificado de fumaça, fogo ou chamas - rua e estrada"
cid,X085,"Exposição a outro tipo especificado de fumaça, fogo ou chamas - áreas de comércio e de serviços"
cid,X086,"Exposição a outro tipo especificado de fumaça, fogo ou chamas - áreas industriais e em construção"
cid,X087,"Exposição a outro tipo especificado de fumaça, fogo ou chamas - fazenda"
cid,X088,"Exposição a outro tipo especificado de fumaça, fogo ou chamas - outros locais especificados"
cid,X089,"Exposição a outro tipo especificado de fumaça, fogo ou chamas - local não especificado"
cid,X090,"Exposição a tipo não especificado de fumaça, fogo ou chamas - residência"
cid,X091,"Exposição a tipo não especificado de fumaça, fogo ou chamas - habitação coletiva"
cid,X092,"Exposição a tipo não especificado de fumaça, fogo ou chamas - escolas, outras instituições e áreas de administração pública"
cid,X093,"Exposição a tipo não especificado de fumaça, fogo ou chamas - área para a prática de esportes e atletismo"
cid,X094,"Exposição a tipo não especificado de fumaça, fogo ou chamas - rua e estrada"
cid,X095,"Exposição a tipo não especificado de fumaça, fogo ou chamas - áreas de comércio e de serviços"
cid,X096,"Exposição a tipo não especificado de fumaça, fogo ou chamas - áreas industriais e em construção"
cid,X097,"Exposição a tipo não especificado de fumaça, fogo ou chamas - fazenda"
cid,X098,"Exposição a tipo não especificado de fumaça, fogo ou chamas - outros locais especificados"
cid,X099,"Exposição a tipo não especificado de fumaça, fogo ou chamas - local não especificado"
cid,X100,"Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - residência"
cid,X101,"Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - habitação coletiva"
cid,X102,"Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - escolas, outras instituições e áreas de administração pública"
cid,X103,"Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - área para a prática de esportes e atletismo"
cid,X104,"Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - rua e estrada"
cid,X105,"Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - áreas de comércio e de serviços"
cid,X106,"Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - áreas industriais e em construção"
cid,X107,"Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - fazenda"
cid,X108,"Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - outros locais especificados"
cid,X109,"Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - local não especificado"
cid,X110,Contato com água corrente quente de torneira - residência
cid,X111,Contato com água corrente quente de torneira - habitação coletiva
cid,X112,"Contato com água corrente quente de torneira - escolas, outras instituições e áreas de administração pública"
cid,X113,Contato com água corrente quente de torneira - área para a prática de esportes e atletismo
cid,X114,Contato com água corrente quente de torneira - rua e estrada
cid,X115,Contato com água corrente quente de torneira - áreas de comércio e de serviços
cid,X116,Contato com água corrente quente de torneira - áreas industriais e em construção
cid,X117,Contato com água corrente quente de torneira - fazenda
cid,X118,Contato com água corrente quente de torneira - outros locais especificados
cid,X119,Contato com água corrente quente de torneira - local não especificado
cid,X120,Contato com outros líquidos quentes - residência
cid,X121,Contato com outros líquidos quentes - habitação coletiva
cid,X122,"Contato com outros líquidos quentes - escolas, outras instituições e áreas de administração pública"
cid,X123,Contato com outros líquidos quentes - área para a prática de esportes e atletismo
cid,X124,Contato com outros líquidos quentes - rua e estrada
cid,X125,Contato com outros líquidos quentes - áreas de comércio e de serviços
cid,X126,Contato com outros líquidos quentes - áreas industriais e em construção
cid,X127,Contato com outros líquidos quentes - fazenda
cid,X128,Contato com outros líquidos quentes - outros locais especificados
cid,X129,Contato com outros líquidos quentes - local não especificado
cid,X130,Contato com vapor d'água e com vapores quentes - residência
cid,X131,Contato com vapor d'água e com vapores quentes - habitação coletiva
cid,X132,"Contato com vapor d'água e com vapores quentes - escolas, outras instituições e áreas de administração pública"
cid,X133,Contato com vapor d'água e com vapores quentes - área para a prática de esportes e atletismo
cid,X134,Contato com vapor d'água e com vapores quentes - rua e estrada
cid,X135,Contato com vapor d'água e com vapores quentes - áreas de comércio e de serviços
cid,X136,Contato com vapor d'água e com vapores quentes - áreas industriais e em construção
cid,X137,Contato com vapor d'água e com vapores quentes - fazenda
cid,X138,Contato com vapor d'água e com vapores quentes - outros locais especificados
cid,X139,Contato com vapor d'água e com vapores quentes - local não especificado
cid,X140,Contato com ar e gases quentes - residência
cid,X141,Contato com ar e gases quentes - habitação coletiva
cid,X142,"Contato com ar e gases quentes - escolas, outras instituições e áreas de administração pública"
cid,X143,Contato com ar e gases quentes - área para a prática de esportes e atletismo
cid,X144,Contato com ar e gases quentes - rua e estrada
cid,X145,Contato com ar e gases quentes - áreas de comércio e de serviços
cid,X146,Contato com ar e gases quentes - áreas industriais e em construção
cid,X147,Contato com ar e gases quentes - fazenda
cid,X148,Contato com ar e gases quentes - outros locais especificados
cid,X149,Contato com ar e gases quentes - local não especificado
cid,X150,Contato com aparelhos domésticos quentes - residência
cid,X151,Contato com aparelhos domésticos quentes - habitação coletiva
cid,X152,"Contato com aparelhos domésticos quentes - escolas, outras instituições e áreas de administração pública"
cid,X153,Contato com aparelhos domésticos quentes - área para a prática de esportes e atletismo
cid,X154,Contato com aparelhos domésticos quentes - rua e estrada
cid,X155,Contato com aparelhos domésticos quentes - áreas de comércio e de serviços
cid,X156,Contato com aparelhos domésticos quentes - áreas industriais e em construção
cid,X157,Contato com aparelhos domésticos quentes - fazenda
cid,X158,Contato com aparelhos domésticos quentes - outros locais especificados
cid,X159,Contato com aparelhos domésticos quentes - local não especificado
cid,X160,"Contato com aquecedores, radiadores e tubulação - residência"
cid,X161,"Contato com aquecedores, radiadores e tubulação - habitação coletiva"
cid,X162,"Contato com aquecedores, radiadores e tubulação - escolas, outras instituições e áreas de administração pública"
cid,X163,"Contato com aquecedores, radiadores e tubulação - área para a prática de esportes e atletismo"
cid,X164,"Contato com aquecedores, radiadores e tubulação - rua e estrada"
cid,X165,"Contato com aquecedores, radiadores e tubulação - áreas de comércio e de serviços"
cid,X166,"Contato com aquecedores, radiadores e tubulação - áreas industriais e em construção"
cid,X167,"Contato com aquecedores, radiadores e tubulação - fazenda"
cid,X168,"Contato com aquecedores, radiadores e tubulação - outros locais especificados"
cid,X169,"Contato com aquecedores, radiadores e tubulação - local não especificado"
cid,X170,"Contato com motores, máquinas e ferramentas quentes - residência"
cid,X171,"Contato com motores, máquinas e ferramentas quentes - habitação coletiva"
cid,X172,"Contato com motores, máquinas e ferramentas quentes - escolas, outras instituições e áreas de administração pública"
cid,X173,"Contato com motores, máquinas e ferramentas quentes - área para a prática de esportes e atletismo"
cid,X174,"Contato com motores, máquinas e ferramentas quentes - rua e estrada"
cid,X175,"Contato com motores, máquinas e ferramentas quentes - áreas de comércio e de serviços"
cid,X176,"Contato com motores, máquinas e ferramentas quentes - áreas industriais e em construção"
cid,X177,"Contato com motores, máquinas e ferramentas quentes - fazenda"
cid,X178,"Contato com motores, máquinas e ferramentas quentes - outros locais especificados"
cid,X179,"Contato com motores, máquinas e ferramentas quentes - local não especificado"
cid,X180,Contato com outros metais quentes - residência
cid,X181,Contato com outros metais quentes - habitação coletiva
cid,X182,"Contato com outros metais quentes - escolas, outras instituições e áreas de administração pública"
cid,X183,Contato com outros metais quentes - área para a prática de esportes e atletismo
cid,X184,Contato com outros metais quentes - rua e estrada
cid,X185,Contato com outros metais quentes - áreas de comércio e de serviços
cid,X186,Contato com outros metais quentes - áreas industriais e em construção
cid,X187,Contato com outros metais quentes - fazenda
cid,X188,Contato com outros metais quentes - outros locais especificados
cid,X189,Contato com outros metais quentes - local não especificado
cid,X190,Contato com outras fontes de calor ou com substâncias quentes não especificados - residência
cid,X191,Contato com outras fontes de calor ou com substâncias quentes não especificados - habitação coletiva
cid,X192,"Contato com outras fontes de calor ou com substâncias quentes não especificados - escolas, outras instituições e áreas de administração pública"
cid,X193,Contato com outras fontes de calor ou com substâncias quentes não especificados - área para a prática de esportes e atletismo
cid,X194,Contato com outras fontes de calor ou com substâncias quentes não especificados - rua e estrada
cid,X195,Contato com outras fontes de calor ou com substâncias quentes não especificados - áreas de comércio e de serviços
cid,X196,Contato com outras fontes de calor ou com substâncias quentes não especificados - áreas industriais e em construção
cid,X197,Contato com outras fontes de calor ou com substâncias quentes não especificados - fazenda
cid,X198,Contato com outras fontes de calor ou com substâncias quentes não especificados - outros locais especificados
cid,X199,Contato com outras fontes de calor ou com substâncias quentes não especificados - local não especificado
cid,X200,Contato com serpentes e lagartos venenosos - residência
cid,X201,Contato com serpentes e lagartos venenosos - habitação coletiva
cid,X202,"Contato com serpentes e lagartos venenosos - escolas, outras instituições e áreas de administração pública"
cid,X203,Contato com serpentes e lagartos venenosos - área para a prática de esportes e atletismo
cid,X204,Contato com serpentes e lagartos venenosos - rua e estrada
cid,X205,Contato com serpentes e lagartos venenosos - áreas de comércio e de serviços
cid,X206,Contato com serpentes e lagartos venenosos - áreas industriais e em construção
cid,X207,Contato com serpentes e lagartos venenosos - fazenda
cid,X208,Contato com serpentes e lagartos venenosos - outros locais especificados
cid,X209,Contato com serpentes e lagartos venenosos - local não especificado
cid,X210,Contato com aranhas venenosas - residência
cid,X211,Contato com aranhas venenosas - habitação coletiva
cid,X212,"Contato com aranhas venenosas - escolas, outras instituições e áreas de administração pública"
cid,X213,Contato com aranhas venenosas - área para a prática de esportes e atletismo
cid,X214,Contato com aranhas venenosas - rua e estrada
cid,X215,Contato com aranhas venenosas - áreas de comércio e de serviços
cid,X216,Contato com aranhas venenosas - áreas industriais e em construção
cid,X217,Contato com aranhas venenosas - fazenda
cid,X218,Contato com aranhas venenosas - outros locais especificados
cid,X219,Contato com aranhas venenosas - local não especificado
cid,X220,Contato com escorpiões - residência
cid,X221,Contato com escorpiões - habitação coletiva
cid,X222,"Contato com escorpiões - escolas, outras instituições e áreas de administração pública"
cid,X223,Contato com escorpiões - área para a prática de esportes e atletismo
cid,X224,Contato com escorpiões - rua e estrada
cid,X225,Contato com escorpiões - áreas de comércio e de serviços
cid,X226,Contato com escorpiões - áreas industriais e em construção
cid,X227,Contato com escorpiões - fazenda
cid,X228,Contato com escorpiões - outros locais especificados
cid,X229,Contato com escorpiões - local não especificado
cid,X230,"Contato com abelhas, vespas e vespões - residência"
cid,X231,"Contato com abelhas, vespas e vespões - habitação coletiva"
cid,X232,"Contato com abelhas, vespas e vespões - escolas, outras instituições e áreas de administração pública"
cid,X233,"Contato com abelhas, vespas e vespões - área para a prática de esportes e atletismo"
cid,X234,"Contato com abelhas, vespas e vespões - rua e estrada"
cid,X235,"Contato com abelhas, vespas e vespões - áreas de comércio e de serviços"
cid,X236,"Contato com abelhas, vespas e vespões - áreas industriais e em construção"
cid,X237,"Contato com abelhas, vespas e vespões - fazenda"
cid,X238,"Contato com abelhas, vespas e vespões - outros locais especificados"
cid,X239,"Contato com abelhas, vespas e vespões - local não especificado"
cid,X240,Contato com centopéias e miriápodes venenosas (tropicais) - residência
cid,X241,Contato com centopéias e miriápodes venenosas (tropicais) - habitação coletiva
cid,X242,"Contato com centopéias e miriápodes venenosas (tropicais) - escolas, outras instituições e áreas de administração pública"
cid,X243,Contato com centopéias e miriápodes venenosas (tropicais) - área para a prática de esportes e atletismo
cid,X244,Contato com centopéias e miriápodes venenosas (tropicais) - rua e estrada
cid,X245,Contato com centopéias e miriápodes venenosas (tropicais) - áreas de comércio e de serviços
cid,X246,Contato com centopéias e miriápodes venenosas (tropicais) - áreas industriais e em construção
cid,X247,Contato com centopéias e miriápodes venenosas (tropicais) - fazenda
cid,X248,Contato com centopéias e miriápodes venenosas (tropicais) - outros locais especificados
cid,X249,Contato com centopéias e miriápodes venenosas (tropicais) - local não especificado
cid,X250,Contato com outros artrópodes venenosos - residência
cid,X251,Contato com outros artrópodes venenosos - habitação coletiva
cid,X252,"Contato com outros artrópodes venenosos - escolas, outras instituições e áreas de administração pública"
cid,X253,Contato com outros artrópodes venenosos - área para a prática de esportes e atletismo
cid,X254,Contato com outros artrópodes venenosos - rua e estrada
cid,X255,Contato com outros artrópodes venenosos - áreas de comércio e de serviços
cid,X256,Contato com outros artrópodes venenosos - áreas industriais e em construção
cid,X257,Contato com outros artrópodes venenosos - fazenda
cid,X258,Contato com outros artrópodes venenosos - outros locais especificados
cid,X259,Contato com outros artrópodes venenosos - local não especificado
cid,X260,Contato com animais e plantas marinhos venenosos - residência
cid,X261,Contato com animais e plantas marinhos venenosos - habitação coletiva
cid,X262,"Contato com animais e plantas marinhos venenosos - escolas, outras instituições e áreas de administração pública"
cid,X263,Contato com animais e plantas marinhos venenosos - área para a prática de esportes e atletismo
cid,X264,Contato com animais e plantas marinhos venenosos - rua e estrada
cid,X265,Contato com animais e plantas marinhos venenosos - áreas de comércio e de serviços
cid,X266,Contato com animais e plantas marinhos venenosos - áreas industriais e em construção
cid,X267,Contato com animais e plantas marinhos venenosos - fazenda
cid,X268,Contato com animais e plantas marinhos venenosos - outros locais especificados
cid,X269,Contato com animais e plantas marinhos venenosos - local não especificado
cid,X270,Contato com outros animais venenosos especificados - residência
cid,X271,Contato com outros animais venenosos especificados - habitação coletiva
cid,X272,"Contato com outros animais venenosos especificados - escolas, outras instituições e áreas de administração pública"
cid,X273,Contato com outros animais venenosos especificados - área para a prática de esportes e atletismo
cid,X274,Contato com outros animais venenosos especificados - rua e estrada
cid,X275,Contato com outros animais venenosos especificados - áreas de comércio e de serviços
cid,X276,Contato com outros animais venenosos especificados - áreas industriais e em construção
cid,X277,Contato com outros animais venenosos especificados - fazenda
cid,X278,Contato com outros animais venenosos especificados - outros locais especificados
cid,X279,Contato com outros animais venenosos especificados - local não especificado
cid,X280,Contato com outras plantas venenosas especificadas - residência
cid,X281,Contato com outras plantas venenosas especificadas - habitação coletiva
cid,X282,"Contato com outras plantas venenosas especificadas - escolas, outras instituições e áreas de administração pública"
cid,X283,Contato com outras plantas venenosas especificadas - área para a prática de esportes e atletismo
cid,X284,Contato com outras plantas venenosas especificadas - rua e estrada
cid,X285,Contato com outras plantas venenosas especificadas - áreas de comércio e de serviços
cid,X286,Contato com outras plantas venenosas especificadas - áreas industriais e em construção
cid,X287,Contato com outras plantas venenosas especificadas - fazenda
cid,X288,Contato com outras plantas venenosas especificadas - outros locais especificados
cid,X289,Contato com outras plantas venenosas especificadas - local não especificado
cid,X290,"Contato com animais ou plantas venenosos, sem especificação - residência"
cid,X291,"Contato com animais ou plantas venenosos, sem especificação - habitação coletiva"
cid,X292,"Contato com animais ou plantas venenosos, sem especificação - escolas, outras instituições e áreas de administração pública"
cid,X293,"Contato com animais ou plantas venenosos, sem especificação - área para a prática de esportes e atletismo"
cid,X294,"Contato com animais ou plantas venenosos, sem especificação - rua e estrada"
cid,X295,"Contato com animais ou plantas venenosos, sem especificação - áreas de comércio e de serviços"
cid,X296,"Contato com animais ou plantas venenosos, sem especificação - áreas industriais e em construção"
cid,X297,"Contato com animais ou plantas venenosos, sem especificação - fazenda"
cid,X298,"Contato com animais ou plantas venenosos, sem especificação - outros locais especificados"
cid,X299,"Contato com animais ou plantas venenosos, sem especificação - local não especificado"
cid,X300,Exposição a calor natural excessivo - residência
cid,X301,Exposição a calor natural excessivo - habitação coletiva
cid,X302,"Exposição a calor natural excessivo - escolas, outras instituições e áreas de administração pública"
cid,X303,Exposição a calor natural excessivo - área para a prática de esportes e atletismo
cid,X304,Exposição a calor natural excessivo - rua e estrada
cid,X305,Exposição a calor natural excessivo - áreas de comércio e de serviços
cid,X306,Exposição a calor natural excessivo - áreas industriais e em construção
cid,X307,Exposição a calor natural excessivo - fazenda
cid,X308,Exposição a calor natural excessivo - outros locais especificados
cid,X309,Exposição a calor natural excessivo - local não especificado
cid,X310,Exposição a frio natural excessivo - residência
cid,X311,Exposição a frio natural excessivo - habitação coletiva
cid,X312,"Exposição a frio natural excessivo - escolas, outras instituições e áreas de administração pública"
cid,X313,Exposição a frio natural excessivo - área para a prática de esportes e atletismo
cid,X314,Exposição a frio natural excessivo - rua e estrada
cid,X315,Exposição a frio natural excessivo - áreas de comércio e de serviços
cid,X316,Exposição a frio natural excessivo - áreas industriais e em construção
cid,X317,Exposição a frio natural excessivo - fazenda
cid,X318,Exposição a frio natural excessivo - outros locais especificados
cid,X319,Exposição a frio natural excessivo - local não especificado
cid,X320,Exposição à luz solar - residência
cid,X321,Exposição à luz solar - habitação coletiva
cid,X322,"Exposição à luz solar - escolas, outras instituições e áreas de administração pública"
cid,X323,Exposição à luz solar - área para a prática de esportes e atletismo
cid,X324,Exposição à luz solar - rua e estrada
cid,X325,Exposição à luz solar - áreas de comércio e de serviços
cid,X326,Exposição à luz solar - áreas industriais e em construção
cid,X327,Exposição à luz solar - fazenda
cid,X328,Exposição à luz solar - outros locais especificados
cid,X329,Exposição à luz solar - local não especificado
cid,X330,Vítima de raio - residência
cid,X331,Vítima de raio - habitação coletiva
cid,X332,"Vítima de raio - escolas, outras instituições e áreas de administração pública"
cid,X333,Vítima de raio - área para a prática de esportes e atletismo
cid,X334,Vítima de raio - rua e estrada
cid,X335,Vítima de raio - áreas de comércio e de serviços
cid,X336,Vítima de raio - áreas industriais e em construção
cid,X337,Vítima de raio - fazenda
cid,X338,Vítima de raio - outros locais especificados
cid,X339,Vítima de raio - local não especificado
cid,X340,Vítima de terremoto - residência
cid,X341,Vítima de terremoto - habitação coletiva
cid,X342,"Vítima de terremoto - escolas, outras instituições e áreas de administração pública"
cid,X343,Vítima de terremoto - área para a prática de esportes e atletismo
cid,X344,Vítima de terremoto - rua e estrada
cid,X345,Vítima de terremoto - áreas de comércio e de serviços
cid,X346,Vítima de terremoto - áreas industriais e em construção
cid,X347,Vítima de terremoto - fazenda
cid,X348,Vítima de terremoto - outros locais especificados
cid,X349,Vítima de terremoto - local não especificado
cid,X350,Vítima de erupção vulcânica - residência
cid,X351,Vítima de erupção vulcânica - habitação coletiva
cid,X352,"Vítima de erupção vulcânica - escolas, outras instituições e áreas de administração pública"
cid,X353,Vítima de erupção vulcânica - área para a prática de esportes e atletismo
cid,X354,Vítima de erupção vulcânica - rua e estrada
cid,X355,Vítima de erupção vulcânica - áreas de comércio e de serviços
cid,X356,Vítima de erupção vulcânica - áreas industriais e em construção
cid,X357,Vítima de erupção vulcânica - fazenda
cid,X358,Vítima de erupção vulcânica - outros locais especificados
cid,X359,Vítima de erupção vulcânica - local não especificado
cid,X360,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - residência"
cid,X361,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - habitação coletiva"
cid,X362,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - escolas, outras instituições e áreas de administração pública"
cid,X363,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - área para a prática de esportes e atletismo"
cid,X364,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - rua e estrada"
cid,X365,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - áreas de comércio e de serviços"
cid,X366,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - áreas industriais e em construção"
cid,X367,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - fazenda"
cid,X368,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - outros locais especificados"
cid,X369,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - local não especificado"
cid,X370,Vítima de tempestade cataclísmica - residência
cid,X371,Vítima de tempestade cataclísmica - habitação coletiva
cid,X372,"Vítima de tempestade cataclísmica - escolas, outras instituições e áreas de administração pública"
cid,X373,Vítima de tempestade cataclísmica - área para a prática de esportes e atletismo
cid,X374,Vítima de tempestade cataclísmica - rua e estrada
cid,X375,Vítima de tempestade cataclísmica - áreas de comércio e de serviços
cid,X376,Vítima de tempestade cataclísmica - áreas industriais e em construção
cid,X377,Vítima de tempestade cataclísmica - fazenda
cid,X378,Vítima de tempestade cataclísmica - outros locais especificados
cid,X379,Vítima de tempestade cataclísmica - local não especificado
cid,X380,Vítima de inundação - residência
